装備ID,装備名,装備枠,武器種,持ち方,防具分類,Tier,推奨Lv下限,推奨Lv上限,地域系統,物理威力,魔導威力,防御,魔法耐性,素早さ補正,幸運補正,命中補正,回避補正,会心補正,デバフ成功補正,デバフ耐性補正,最大HP補正,最大MP補正,付与スキルID,パッシブ効果,欠点,売却率,性能指数,説明,状態,売り場,施設ID,基準価格G,在庫,初期販売,解禁条件,価格変動/条件
EQP-W-0208,帆布職人の千枚通し,mainHand,spear,oneHand,none,1,2,9,交易,20,0,0,0,3,0,7,0,4,0,0,0,0,,,,0.45,22.6,帆布を縫う長針。細く速く、鎧の隙間だけを狙える。,active,交易都市,LOC_TRADE_FISH_MARKET,26,少,TRUE,,
EQP-A-0203,荷役の詰め襟,body,,,medium,1,2,9,交易,0,0,10,0,0,0,0,0,0,0,0,10,0,,荷運びの労働で疲労増加を軽減,,0.45,12.4,荷役夫が着る厚手の上着。守りは並だが、担いでも肩が痛まない。,active,交易都市,LOC_TRADE_STABLE,34,多,TRUE,,
EQP-W-0209,密猟者の弩,mainHand,bow,twoHand,none,1,3,10,犯罪,26,0,0,0,-2,0,2,0,8,0,0,0,0,,,弦を張り直すのに時間がかかる,0.40,28.2,音を立てずに射る小型の弩。持っているだけで罪に問われる。,active,武器密売市場,LOC_CRIME_WEAPON_MARKET,46,少,TRUE,,非合法・悪名で価格変動
EQP-X-0204,鉛入りの指抜き,accessory,,,none,1,3,12,犯罪,0,0,1,0,0,-2,2,0,6,0,0,0,0,,,幸運が下がる,0.40,7.8,指の腹に鉛を縫い込んだ革の指抜き。素手でも骨を砕ける。,active,武器密売市場,LOC_CRIME_WEAPON_MARKET,22,普通,TRUE,,
EQP-W-0210,坑夫の手斧,mainHand,axe,oneHand,none,1,2,8,ドワーフ,25,0,0,0,0,0,1,0,3,0,0,0,0,,岩・鉱物タグの敵へ物理威力+3,,0.50,26.6,坑道で岩を割る短い斧。ドワーフの規格で作られ、刃持ちが良い。,active,ドワーフ洞窟,LOC_DWARF_MARKET,31,多,TRUE,,T09で42G
EQP-S-0202,坑道の腕盾,offHand,,,shield,1,3,11,ドワーフ,0,0,15,3,-2,0,0,0,0,0,4,0,0,,落石・崩落ダメージを軽減,,0.50,17.6,落石を受けるための小盾。重いが、頭上から来る物に強い。,active,ドワーフ洞窟,LOC_DWARF_MARKET,52,普通,TRUE,,
EQP-W-0211,巡礼者の護り杖,mainHand,staff,twoHand,none,1,2,9,辺境,12,19,3,4,0,1,0,0,0,0,0,0,6,,,物理威力が低い,0.45,21.4,巡礼路を歩く者が持つ杖。旅杖より魔力が通り、身も守れる。,active,神殿土産屋,LOC_BORDER_SOUVENIR,27,普通,TRUE,,T04発生後は品薄
EQP-X-0205,古びた巡礼章,accessory,,,none,1,2,14,辺境,0,0,0,3,0,3,0,0,0,0,3,0,5,,,,0.45,6.6,擦り切れた巡礼章。持つ者を旅人として扱う土地がある。,active,神殿土産屋,LOC_BORDER_SOUVENIR,18,少,TRUE,,
EQP-W-0212,錆びた両手剣,mainHand,twoHandedSword,twoHand,,0,1,6,犯罪,26,0,0,0,-3,0,-7,0,6,0,0,0,0,,,錆が深く、振るたびに刃が鳴る,0.40,27.8,墓場から掘り出された両手剣。重さだけは本物である。,active,武器密売市場,LOC_CRIME_WEAPON_MARKET,30,少,TRUE,,盗品扱い・悪名で価格変動
EQP-W-0213,徴募兵の大剣,mainHand,twoHandedSword,twoHand,,1,3,10,王都,31,0,0,0,-3,0,-5,0,8,0,0,0,0,,,両手が塞がる,0.45,33.2,徴募兵に配られる規格品の大剣。飾りは無いが、折れない。,active,王都,LOC_CAP_WEAPON_SHOP,58,普通,TRUE,,T12発生中は在庫なし寄り
