Day,月日,季節,地域,一日パターン,00:00,06:00,09:00,12:00,15:00,18:00,21:00,備考
57,9/26,秋,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
58,9/27,秋,田園の村,cloudy;16=light_rain;19=cloudy,曇り,曇り,曇り,曇り,曇り,小雨,曇り,16:00から小雨・19:00から曇り
59,9/28,秋,田園の村,clear;14=strong_wind;20=clear,晴れ,晴れ,晴れ,晴れ,強風,強風,晴れ,14:00から強風・20:00から晴れ
60,9/29,秋,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
61,9/30,秋,田園の村,cloudy;17=rain;23=cloudy,曇り,曇り,曇り,曇り,曇り,雨,雨,17:00から雨・23:00から曇り
62,10/1,秋,田園の村,clear;14=cloudy,晴れ,晴れ,晴れ,晴れ,曇り,曇り,曇り,14:00から曇り
63,10/2,秋,田園の村,cloudy;14=light_rain;18=cloudy,曇り,曇り,曇り,曇り,小雨,曇り,曇り,14:00から小雨・18:00から曇り
64,10/3,秋,田園の村,clear;16=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,曇り,16:00から曇り
65,10/4,秋,田園の村,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
66,10/5,秋,田園の村,cloudy;15=light_rain;17=cloudy,曇り,曇り,曇り,曇り,小雨,曇り,曇り,15:00から小雨・17:00から曇り
67,10/6,秋,田園の村,cloudy;14=light_rain;20=cloudy,曇り,曇り,曇り,曇り,小雨,小雨,曇り,14:00から小雨・20:00から曇り
68,10/7,秋,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
69,10/8,秋,田園の村,clear;13=cloudy;18=clear,晴れ,晴れ,晴れ,晴れ,曇り,晴れ,晴れ,13:00から曇り・18:00から晴れ
70,10/9,秋,田園の村,cloudy;19=fog,曇り,曇り,曇り,曇り,曇り,曇り,霧,19:00から霧
71,10/10,晩秋,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
72,10/11,晩秋,田園の村,light_rain;14=cloudy,小雨,小雨,小雨,小雨,曇り,曇り,曇り,14:00から曇り
73,10/12,晩秋,田園の村,cloudy;16=rain;23=cloudy,曇り,曇り,曇り,曇り,曇り,雨,雨,16:00から雨・23:00から曇り
74,10/13,晩秋,田園の村,cloudy;13=light_rain;18=cloudy,曇り,曇り,曇り,曇り,小雨,曇り,曇り,13:00から小雨・18:00から曇り
75,10/14,晩秋,田園の村,light_rain;14=cloudy,小雨,小雨,小雨,小雨,曇り,曇り,曇り,14:00から曇り
76,10/15,晩秋,田園の村,light_rain;18=cloudy,小雨,小雨,小雨,小雨,小雨,曇り,曇り,18:00から曇り
77,10/16,晩秋,田園の村,rain,雨,雨,雨,雨,雨,雨,雨,終日変化なし
78,10/17,晩秋,田園の村,fog;08=clear,霧,霧,晴れ,晴れ,晴れ,晴れ,晴れ,08:00から晴れ
79,10/18,晩秋,田園の村,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
80,10/19,晩秋,田園の村,clear;12=cloudy;16=clear,晴れ,晴れ,晴れ,曇り,曇り,晴れ,晴れ,12:00から曇り・16:00から晴れ
81,10/20,晩秋,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
82,10/21,晩秋,田園の村,light_rain;14=cloudy,小雨,小雨,小雨,小雨,曇り,曇り,曇り,14:00から曇り
83,10/22,晩秋,田園の村,cloudy;14=light_rain;19=cloudy,曇り,曇り,曇り,曇り,小雨,小雨,曇り,14:00から小雨・19:00から曇り
84,10/23,晩秋,田園の村,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
85,10/24,晩秋,田園の村,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
86,10/25,晩秋,田園の村,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
87,10/26,晩秋,田園の村,clear;10=strong_wind;18=clear,晴れ,晴れ,晴れ,強風,強風,晴れ,晴れ,10:00から強風・18:00から晴れ
88,10/27,晩秋,田園の村,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
89,10/28,晩秋,田園の村,cloudy;13=rain;23=cloudy,曇り,曇り,曇り,曇り,雨,雨,雨,13:00から雨・23:00から曇り
90,10/29,晩秋,田園の村,clear;13=cloudy;18=clear,晴れ,晴れ,晴れ,晴れ,曇り,晴れ,晴れ,13:00から曇り・18:00から晴れ
91,10/30,晩秋,田園の村,fog;07=clear,霧,霧,晴れ,晴れ,晴れ,晴れ,晴れ,07:00から晴れ
92,10/31,晩秋,田園の村,light_rain;15=cloudy,小雨,小雨,小雨,小雨,曇り,曇り,曇り,15:00から曇り
93,11/1,晩秋,田園の村,rain,雨,雨,雨,雨,雨,雨,雨,終日変化なし
94,11/2,晩秋,田園の村,clear;10=strong_wind;18=clear,晴れ,晴れ,晴れ,強風,強風,晴れ,晴れ,10:00から強風・18:00から晴れ
95,11/3,晩秋,田園の村,rain,雨,雨,雨,雨,雨,雨,雨,終日変化なし
96,11/4,晩秋,田園の村,clear;13=cloudy;18=clear,晴れ,晴れ,晴れ,晴れ,曇り,晴れ,晴れ,13:00から曇り・18:00から晴れ
97,11/5,晩秋,田園の村,cloudy;14=light_rain;19=cloudy,曇り,曇り,曇り,曇り,小雨,小雨,曇り,14:00から小雨・19:00から曇り
98,11/6,晩秋,田園の村,cloudy;17=fog,曇り,曇り,曇り,曇り,曇り,霧,霧,17:00から霧
99,11/7,晩秋,田園の村,light_rain;14=cloudy,小雨,小雨,小雨,小雨,曇り,曇り,曇り,14:00から曇り
100,11/8,晩秋,田園の村,clear;12=strong_wind;20=clear,晴れ,晴れ,晴れ,強風,強風,強風,晴れ,12:00から強風・20:00から晴れ
1,8/1,盛夏,王都,clear;10=strong_wind;21=clear,晴れ,晴れ,晴れ,強風,強風,強風,晴れ,10:00から強風・21:00から晴れ
2,8/2,盛夏,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
3,8/3,盛夏,王都,cloudy;12=clear,曇り,曇り,曇り,晴れ,晴れ,晴れ,晴れ,12:00から晴れ
4,8/4,盛夏,王都,cloudy;12=clear,曇り,曇り,曇り,晴れ,晴れ,晴れ,晴れ,12:00から晴れ
5,8/5,盛夏,王都,cloudy;16=rain;22=cloudy,曇り,曇り,曇り,曇り,曇り,雨,雨,16:00から雨・22:00から曇り
6,8/6,盛夏,王都,clear;12=cloudy,晴れ,晴れ,晴れ,曇り,曇り,曇り,曇り,12:00から曇り
7,8/7,盛夏,王都,clear;14=cloudy;19=clear,晴れ,晴れ,晴れ,晴れ,曇り,曇り,晴れ,14:00から曇り・19:00から晴れ
8,8/8,盛夏,王都,clear;14=cloudy;17=clear,晴れ,晴れ,晴れ,晴れ,曇り,晴れ,晴れ,14:00から曇り・17:00から晴れ
9,8/9,盛夏,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
10,8/10,盛夏,王都,clear;16=storm;18=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,曇り,16:00から雷雨・18:00から曇り
11,8/11,盛夏,王都,clear;13=cloudy,晴れ,晴れ,晴れ,晴れ,曇り,曇り,曇り,13:00から曇り
12,8/12,盛夏,王都,cloudy;13=rain;20=cloudy,曇り,曇り,曇り,曇り,雨,雨,曇り,13:00から雨・20:00から曇り
13,8/13,盛夏,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
14,8/14,盛夏,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
15,8/15,盛夏,王都,clear;10=strong_wind;18=clear,晴れ,晴れ,晴れ,強風,強風,晴れ,晴れ,10:00から強風・18:00から晴れ
16,8/16,盛夏,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
17,8/17,盛夏,王都,clear;13=strong_wind;19=clear,晴れ,晴れ,晴れ,晴れ,強風,強風,晴れ,13:00から強風・19:00から晴れ
18,8/18,盛夏,王都,clear;17=storm;18=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,曇り,17:00から雷雨・18:00から曇り
19,8/19,盛夏,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
20,8/20,盛夏,王都,cloudy;09=clear,曇り,曇り,晴れ,晴れ,晴れ,晴れ,晴れ,09:00から晴れ
21,8/21,盛夏,王都,clear;15=storm;16=cloudy,晴れ,晴れ,晴れ,晴れ,雷雨,曇り,曇り,15:00から雷雨・16:00から曇り
22,8/22,盛夏,王都,cloudy;13=rain;23=cloudy,曇り,曇り,曇り,曇り,雨,雨,雨,13:00から雨・23:00から曇り
23,8/23,晩夏,王都,clear;15=cloudy,晴れ,晴れ,晴れ,晴れ,曇り,曇り,曇り,15:00から曇り
24,8/24,晩夏,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
25,8/25,晩夏,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
26,8/26,晩夏,王都,rain,雨,雨,雨,雨,雨,雨,雨,終日変化なし
27,8/27,晩夏,王都,cloudy;14=rain;22=cloudy,曇り,曇り,曇り,曇り,雨,雨,雨,14:00から雨・22:00から曇り
28,8/28,晩夏,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
29,8/29,晩夏,王都,cloudy;11=clear,曇り,曇り,曇り,晴れ,晴れ,晴れ,晴れ,11:00から晴れ
30,8/30,晩夏,王都,clear;16=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,曇り,16:00から曇り
31,8/31,晩夏,王都,clear;15=cloudy;18=clear,晴れ,晴れ,晴れ,晴れ,曇り,晴れ,晴れ,15:00から曇り・18:00から晴れ
32,9/1,晩夏,王都,rain,雨,雨,雨,雨,雨,雨,雨,終日変化なし
33,9/2,晩夏,王都,cloudy;11=light_rain;19=cloudy,曇り,曇り,曇り,小雨,小雨,小雨,曇り,11:00から小雨・19:00から曇り
34,9/3,晩夏,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
35,9/4,晩夏,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
36,9/5,晩夏,王都,cloudy;11=clear,曇り,曇り,曇り,晴れ,晴れ,晴れ,晴れ,11:00から晴れ
37,9/6,晩夏,王都,clear;11=strong_wind;20=clear,晴れ,晴れ,晴れ,強風,強風,強風,晴れ,11:00から強風・20:00から晴れ
38,9/7,晩夏,王都,cloudy;15=light_rain;16=cloudy,曇り,曇り,曇り,曇り,小雨,曇り,曇り,15:00から小雨・16:00から曇り
39,9/8,晩夏,王都,cloudy;15=light_rain;18=cloudy,曇り,曇り,曇り,曇り,小雨,曇り,曇り,15:00から小雨・18:00から曇り
40,9/9,晩夏,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
41,9/10,晩夏,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
42,9/11,晩夏,王都,clear;14=cloudy;18=clear,晴れ,晴れ,晴れ,晴れ,曇り,晴れ,晴れ,14:00から曇り・18:00から晴れ
43,9/12,晩夏,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
44,9/13,晩夏,王都,cloudy;12=rain;21=cloudy,曇り,曇り,曇り,雨,雨,雨,曇り,12:00から雨・21:00から曇り
45,9/14,晩夏,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
46,9/15,秋,王都,cloudy;12=light_rain;15=cloudy,曇り,曇り,曇り,小雨,曇り,曇り,曇り,12:00から小雨・15:00から曇り
47,9/16,秋,王都,cloudy;16=rain;20=cloudy,曇り,曇り,曇り,曇り,曇り,雨,曇り,16:00から雨・20:00から曇り
48,9/17,秋,王都,cloudy;09=clear,曇り,曇り,晴れ,晴れ,晴れ,晴れ,晴れ,09:00から晴れ
49,9/18,秋,王都,cloudy;18=fog,曇り,曇り,曇り,曇り,曇り,霧,霧,18:00から霧
50,9/19,秋,王都,clear;15=cloudy;19=clear,晴れ,晴れ,晴れ,晴れ,曇り,曇り,晴れ,15:00から曇り・19:00から晴れ
51,9/20,秋,王都,cloudy;16=rain;19=cloudy,曇り,曇り,曇り,曇り,曇り,雨,曇り,16:00から雨・19:00から曇り
52,9/21,秋,王都,cloudy;14=rain;22=cloudy,曇り,曇り,曇り,曇り,雨,雨,雨,14:00から雨・22:00から曇り
53,9/22,秋,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
54,9/23,秋,王都,clear;13=strong_wind;17=clear,晴れ,晴れ,晴れ,晴れ,強風,晴れ,晴れ,13:00から強風・17:00から晴れ
55,9/24,秋,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
56,9/25,秋,王都,rain,雨,雨,雨,雨,雨,雨,雨,終日変化なし
57,9/26,秋,王都,cloudy;18=fog,曇り,曇り,曇り,曇り,曇り,霧,霧,18:00から霧
58,9/27,秋,王都,rain,雨,雨,雨,雨,雨,雨,雨,終日変化なし
59,9/28,秋,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
60,9/29,秋,王都,clear;15=cloudy;17=clear,晴れ,晴れ,晴れ,晴れ,曇り,晴れ,晴れ,15:00から曇り・17:00から晴れ
61,9/30,秋,王都,cloudy;11=clear,曇り,曇り,曇り,晴れ,晴れ,晴れ,晴れ,11:00から晴れ
62,10/1,秋,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
63,10/2,秋,王都,cloudy;16=rain;22=cloudy,曇り,曇り,曇り,曇り,曇り,雨,雨,16:00から雨・22:00から曇り
64,10/3,秋,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
65,10/4,秋,王都,clear;12=cloudy;19=clear,晴れ,晴れ,晴れ,曇り,曇り,曇り,晴れ,12:00から曇り・19:00から晴れ
66,10/5,秋,王都,clear;16=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,曇り,16:00から曇り
67,10/6,秋,王都,cloudy;15=rain;19=cloudy,曇り,曇り,曇り,曇り,雨,雨,曇り,15:00から雨・19:00から曇り
68,10/7,秋,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
69,10/8,秋,王都,clear;11=cloudy;16=clear,晴れ,晴れ,晴れ,曇り,曇り,晴れ,晴れ,11:00から曇り・16:00から晴れ
70,10/9,秋,王都,cloudy;11=light_rain;18=cloudy,曇り,曇り,曇り,小雨,小雨,曇り,曇り,11:00から小雨・18:00から曇り
71,10/10,晩秋,王都,clear;15=cloudy;19=clear,晴れ,晴れ,晴れ,晴れ,曇り,曇り,晴れ,15:00から曇り・19:00から晴れ
72,10/11,晩秋,王都,rain,雨,雨,雨,雨,雨,雨,雨,終日変化なし
73,10/12,晩秋,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
74,10/13,晩秋,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
75,10/14,晩秋,王都,cloudy;09=clear,曇り,曇り,晴れ,晴れ,晴れ,晴れ,晴れ,09:00から晴れ
76,10/15,晩秋,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
77,10/16,晩秋,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
78,10/17,晩秋,王都,light_rain;13=cloudy,小雨,小雨,小雨,小雨,曇り,曇り,曇り,13:00から曇り
79,10/18,晩秋,王都,clear;12=cloudy;15=clear,晴れ,晴れ,晴れ,曇り,晴れ,晴れ,晴れ,12:00から曇り・15:00から晴れ
80,10/19,晩秋,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
81,10/20,晩秋,王都,cloudy;12=rain;19=cloudy,曇り,曇り,曇り,雨,雨,雨,曇り,12:00から雨・19:00から曇り
82,10/21,晩秋,王都,light_rain;17=cloudy,小雨,小雨,小雨,小雨,小雨,曇り,曇り,17:00から曇り
83,10/22,晩秋,王都,clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,終日変化なし
84,10/23,晩秋,王都,cloudy;11=light_rain;17=cloudy,曇り,曇り,曇り,小雨,小雨,曇り,曇り,11:00から小雨・17:00から曇り
85,10/24,晩秋,王都,cloudy;20=fog,曇り,曇り,曇り,曇り,曇り,曇り,霧,20:00から霧
86,10/25,晩秋,王都,cloudy;13=light_rain;15=cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,13:00から小雨・15:00から曇り
87,10/26,晩秋,王都,cloudy;18=fog,曇り,曇り,曇り,曇り,曇り,霧,霧,18:00から霧
88,10/27,晩秋,王都,cloudy;12=light_rain;17=cloudy,曇り,曇り,曇り,小雨,小雨,曇り,曇り,12:00から小雨・17:00から曇り
89,10/28,晩秋,王都,rain,雨,雨,雨,雨,雨,雨,雨,終日変化なし
90,10/29,晩秋,王都,cloudy;15=light_rain;16=cloudy,曇り,曇り,曇り,曇り,小雨,曇り,曇り,15:00から小雨・16:00から曇り
91,10/30,晩秋,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
92,10/31,晩秋,王都,light_rain;17=cloudy,小雨,小雨,小雨,小雨,小雨,曇り,曇り,17:00から曇り
93,11/1,晩秋,王都,cloudy;11=light_rain;17=cloudy,曇り,曇り,曇り,小雨,小雨,曇り,曇り,11:00から小雨・17:00から曇り
94,11/2,晩秋,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
95,11/3,晩秋,王都,rain,雨,雨,雨,雨,雨,雨,雨,終日変化なし
96,11/4,晩秋,王都,cloudy;09=clear,曇り,曇り,晴れ,晴れ,晴れ,晴れ,晴れ,09:00から晴れ
97,11/5,晩秋,王都,cloudy;17=fog,曇り,曇り,曇り,曇り,曇り,霧,霧,17:00から霧
98,11/6,晩秋,王都,clear;13=cloudy;15=clear,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,晴れ,13:00から曇り・15:00から晴れ
99,11/7,晩秋,王都,cloudy,曇り,曇り,曇り,曇り,曇り,曇り,曇り,終日変化なし
100,11/8,晩秋,王都,cloudy;10=clear,曇り,曇り,曇り,晴れ,晴れ,晴れ,晴れ,10:00から晴れ
1,8/1,盛夏,森,cloudy;16=light_rain;21=cloudy,曇り,曇り,曇り,曇り,曇り,小雨,曇り,16:00から小雨・21:00から曇り
2,8/2,盛夏,森,cloudy;18=rain;23=cloudy,曇り,曇り,曇り,曇り,曇り,雨,雨,18:00から雨・23:00から曇り
3,8/3,盛夏,森,fog;12=clear,霧,霧,霧,晴れ,晴れ,晴れ,晴れ,12:00から晴れ
4,8/4,盛夏,森,fog;10=cloudy,霧,霧,霧,曇り,曇り,曇り,曇り,10:00から曇り
5,8/5,盛夏,森,clear;17=storm;19=cloudy,晴れ,晴れ,晴れ,晴れ,晴れ,雷雨,曇り,17:00から雷雨・19:00から曇り
6,8/6,盛夏,森,clear;17=cloudy;20=clear,晴れ,晴れ,晴れ,晴れ,晴れ,曇り,晴れ,17:00から曇り・20:00から晴れ
7,8/7,盛夏,森,cloudy;11=clear,曇り,曇り,曇り,晴れ,晴れ,晴れ,晴れ,11:00から晴れ
8,8/8,盛夏,森,cloudy;13=clear,曇り,曇り,曇り,曇り,晴れ,晴れ,晴れ,13:00から晴れ
